,acoustic,afrobeat,alt-rock,ambient,anime,black-metal,bluegrass,breakbeat,cantopop,chicago-house,club,comedy,disney,forro,happy,heavy-metal,idm,iranian,j-idol,kids,malay,salsa,sleep,study,tango
acoustic,30,1,2,4,1,0,2,0,4,0,0,0,0,5,0,5,0,0,2,1,2,7,0,4,4
afrobeat,1,34,0,0,0,0,9,0,1,1,1,0,0,5,2,4,0,0,3,3,3,12,0,2,7
alt-rock,2,0,53,0,12,0,0,0,1,0,0,0,0,12,1,2,0,7,0,1,0,4,0,1,0
ambient,9,0,5,52,3,0,0,0,3,1,0,0,3,1,0,1,0,8,1,0,0,1,5,7,0
anime,3,1,8,10,27,0,0,0,2,0,7,0,0,9,0,5,0,0,4,2,0,3,0,10,0
black-metal,0,0,1,2,1,68,0,2,0,0,6,0,2,0,3,12,0,2,1,0,0,0,0,0,0
bluegrass,3,3,0,0,0,0,51,0,5,0,0,1,1,2,0,1,0,0,3,0,3,12,0,2,13
breakbeat,0,3,0,0,0,2,0,29,0,17,13,0,0,1,14,0,4,0,2,6,1,0,0,1,0
cantopop,14,2,3,3,1,0,7,0,48,0,2,0,1,11,0,0,0,1,1,0,4,2,0,3,11
chicago-house,0,4,1,0,0,1,0,8,0,68,4,0,0,0,0,0,1,0,0,9,0,0,0,6,0
club,4,4,2,2,0,4,4,5,3,3,26,0,3,12,7,2,1,0,4,2,4,1,0,4,1
comedy,0,2,0,0,0,0,1,0,3,0,2,75,0,4,0,0,0,0,1,2,2,1,0,0,4
disney,2,0,1,6,1,0,1,0,5,0,2,1,38,2,0,1,0,0,0,0,8,3,1,5,13
forro,1,0,1,0,1,0,0,0,4,0,0,0,0,86,0,0,0,0,1,0,0,0,0,0,0
happy,0,1,3,0,4,5,1,1,0,0,0,0,0,1,48,9,0,1,14,1,0,1,0,2,0
heavy-metal,0,3,1,0,4,14,0,0,2,0,1,0,2,1,4,64,0,0,1,0,1,0,0,0,0
idm,2,2,0,0,0,1,0,8,1,13,3,0,1,1,4,0,41,12,1,5,1,1,1,16,0
iranian,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,73,0,0,0,0,0,1,2
j-idol,0,2,0,0,3,2,13,0,4,0,0,0,0,4,6,12,0,0,56,0,0,7,0,0,0
kids,1,5,1,0,0,0,0,2,0,5,1,0,0,0,0,0,1,0,0,56,0,9,0,0,6
malay,8,8,1,0,0,1,11,0,15,0,1,0,2,10,1,1,0,0,4,5,14,9,0,1,10
salsa,0,1,1,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,2,0,3,93,0,1,1
sleep,1,0,1,5,0,1,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,74,0,0
study,1,6,1,1,0,0,1,0,0,7,0,0,0,0,0,0,3,0,0,2,0,0,0,81,0
tango,0,2,0,0,0,0,4,0,4,0,0,3,5,0,0,1,0,0,0,1,3,1,0,1,85
