model,feature,importance
Gradient Boosted Trees (GBT) Classifier,popularity,0.2968787147166101
Gradient Boosted Trees (GBT) Classifier,instrumentalness,0.13675815268146865
Gradient Boosted Trees (GBT) Classifier,danceability,0.08575158360260232
Gradient Boosted Trees (GBT) Classifier,speechiness,0.0833084572815017
Gradient Boosted Trees (GBT) Classifier,acousticness,0.06617765234445235
Gradient Boosted Trees (GBT) Classifier,valence,0.06423315577225507
Gradient Boosted Trees (GBT) Classifier,loudness_normalized,0.06255702845719445
Gradient Boosted Trees (GBT) Classifier,energy_acoustic_contrast,0.0592558560540889
Gradient Boosted Trees (GBT) Classifier,dancefloor_score,0.05462591013088579
Gradient Boosted Trees (GBT) Classifier,energy,0.04048682610806145
Gradient Boosted Trees (GBT) Classifier,tempo_category=orta,0.017520798130704632
Gradient Boosted Trees (GBT) Classifier,liveness,0.01237337356040529
Gradient Boosted Trees (GBT) Classifier,tempo_category=hizli,0.0094382934756485
Gradient Boosted Trees (GBT) Classifier,tempo_category=yavas,0.006312068668293511
Gradient Boosted Trees (GBT) Classifier,mode,0.0024612038629498794
Gradient Boosted Trees (GBT) Classifier,key,0.0015171314287271685
Gradient Boosted Trees (GBT) Classifier,time_signature,0.0003437937241502053
Gradient Boosted Trees (GBT) Classifier,tempo_category=bilinmeyen,0.0
