model,feature,importance
Random Forest Classifier,popularity,0.24171852288948034
Random Forest Classifier,instrumentalness,0.09251747553328889
Random Forest Classifier,danceability,0.09085660348646178
Random Forest Classifier,acousticness,0.08988126168807663
Random Forest Classifier,speechiness,0.08746923148809965
Random Forest Classifier,dancefloor_score,0.08733757752323976
Random Forest Classifier,energy_acoustic_contrast,0.0800019396813903
Random Forest Classifier,valence,0.05592774443955526
Random Forest Classifier,energy,0.05441433158495163
Random Forest Classifier,loudness_normalized,0.04991838250314121
Random Forest Classifier,liveness,0.033649559126859664
Random Forest Classifier,tempo_category=orta,0.011762105851083768
Random Forest Classifier,tempo_category=hizli,0.010622037759538513
Random Forest Classifier,key,0.004887712635752141
Random Forest Classifier,mode,0.003275420272255536
Random Forest Classifier,tempo_category=yavas,0.0030861465867359082
Random Forest Classifier,time_signature,0.0026739469500892806
Random Forest Classifier,tempo_category=bilinmeyen,0.0
